name,price,price_new,specs,warranty
"
      MacBook Air 11"" (2013) - QWERTY - English (US)
    ","
        $149.99
      ","
          $999.00
        ","
        Core i5 - 1.3 GHz - SSD 128 GB - RAM 4GB
      ","
      Warranty: 12 months
    "
"
      MacBook Air 13"" (2014) - QWERTY - English (US)
    ","
        $202.00
      ","
          $1,300.00
        ","
        Core i7 - 1.7 GHz - SSD 256 GB - RAM 8GB
      ","
      Warranty: 12 months
    "
"
      HP M01-F0 Ryzen 3 3.6 GHz - HDD 1 TB RAM 8GB
    ","
        $279.99
      ","
          $569.99
        ","(None,)","
      Warranty: 12 months
    "
"
      MacBook Air 13"" (2015) - QWERTY - English (US)
    ","
        $393.99
      ","
          $1,149.00
        ","
        Core i7 - 2.2 GHz - SSD 128 GB - RAM 8GB
      ","
      Warranty: 12 months
    "
"
      MacBook Pro 13"" (2017) - QWERTY - English (US)
    ","
        $569.93
      ","
          $2,199.00
        ","
        Touch Bar - Retina - Core i5 - 3.1 GHz - SSD 512 GB - RAM 16GB
      ","
      Warranty: 12 months
    "
"
      MacBook Pro 15"" (2018) - QWERTY - English (US)
    ","
        $1,369.00
      ","
          $3,599.00
        ","
        Touch Bar - Retina - Core i9 - 2.9 GHz - SSD 256 GB - RAM 32GB
      ","
      Warranty: 12 months
    "
"
      Lenovo N21 Chromebook Celeron N2840 2.16 GHz 16GB SSD - 4GB
    ","
        $45.00
      ","
          $229.00
        ","(None,)","
      Warranty: 12 months
    "
"
      HP ChromeBook 11 G5 EE Celeron N3060 1.6 GHz 16GB eMMC - 4GB
    ","
        $68.00
      ","
          $250.00
        ","(None,)","
      Warranty: 12 months
    "
"
      Microsoft Surface 3 10"" Atom 1.6 GHz - SSD 128 GB - 4 GB QWERTY - English (US)
    ","
        $165.00
      ","
          $699.00
        ","(None,)","
      Warranty: 12 months
    "
"
      MacBook Pro 13"" (2015) - QWERTY - English (US)
    ","
        $439.99
      ","
          $1,799.00
        ","
        Retina - Core i5 - 2.9 GHz - SSD 512 GB - RAM 8GB
      ","
      Warranty: 12 months
    "
"
      MacBook Pro 15"" (2015) - QWERTY - English (US)
    ","
        $462.00
      ","
          $2,699.00
        ","
        Retina - Core i7 - 2.2 GHz - SSD 256 GB - RAM 16GB
      ","
      Warranty: 12 months
    "
"
      MacBook Pro 13"" (2015) - QWERTY - English (US)
    ","
        $545.00
      ","
          $1,799.00
        ","
        Retina - Core i5 - 2.9 GHz - SSD 256 GB - RAM 16GB
      ","
      Warranty: 12 months
    "
"
      MacBook Pro 16"" (2019) - QWERTY - English (US)
    ","
        $1,749.00
      ","
          $4,499.00
        ","
        Touch Bar - Retina - Core i9 - 2.4 GHz - SSD 2 TB - RAM 32GB
      ","
      Warranty: 12 months
    "
"
      Logitech Keyboard QWERTY Wireless Slim Folio
    ","
        $69.99
      ","
          $149.00
        ","(None,)","
      Warranty: 12 months
    "
"
      MacBook Pro 13"" (2014) - QWERTY - English (US)
    ","
        $251.37
      ","
          $1,299.00
        ","
        Retina - Core i5 - 2.6 GHz - SSD 128 GB - RAM 8GB
      ","
      Warranty: 12 months
    "
"
      Dell Latitude 7290 12.5-inch (2018) - Core i5-8350U - 16 GB - SSD 256 GB
    ","
        $331.98
      ","
          $1,699.00
        ","(None,)","
      Warranty: 12 months
    "
"
      MacBook Pro 13"" (2017) - QWERTY - English (US)
    ","
        $423.65
      ","
          $1,599.00
        ","
        Retina - Core i5 - 2.3 GHz - SSD 128 GB - RAM 8GB
      ","
      Warranty: 12 months
    "
"
      MacBook Pro 15"" (2014) - QWERTY - English (US)
    ","
        $368.00
      ","
          $1,999.00
        ","
        Retina - Core i7 - 2.2 GHz - SSD 256 GB - RAM 16GB
      ","
      Warranty: 12 months
    "
"
      MacBook Pro 13"" (2016) - QWERTY - English (US)
    ","
        $409.99
      ","
          $962.00
        ","
        Retina - Core i5 - 2.0 GHz - SSD 256 GB - RAM 8GB
      ","
      Warranty: 12 months
    "
"
      MacBook Pro 13"" (2017) - QWERTY - English (US)
    ","
        $571.05
      ","
          $1,799.00
        ","
        Touch Bar - Retina - Core i5 - 3.1 GHz - SSD 256 GB - RAM 8GB
      ","
      Warranty: 12 months
    "
"
      iMac 21.5-inch Retina (Early 2019) Core i5 3GHz - HDD 1 TB - 8GB
    ","
        $602.00
      ","
          $1,499.00
        ","(None,)","
      Warranty: 12 months
    "
